SELECT customer_id, SUM(d) FROM (SELECT p.customer_id, ((SUM(pr.price)/100*(s.discount))) d FROM purchases p JOIN purchases_products_list ppl ON p.id = ppl.id JOIN products pr on p.id = pr.id JOIN sales s ON pr.type = s.type GROUP BY p.customer_id, s.discount) n1 GROUP BY customer_id;
 customer_id |   sum   
-------------+---------
          12 |  178167
          35 |  661651
          46 |   87390
          49 |  115702
          64 |   20608
          81 |   41676
          91 | 1130175
         105 |   64657
         120 |  117670
         141 |   78948
         156 | 1043437
         166 |  442815
         198 |  229788
         214 |  395256
         219 |  129795
         221 |   12013
         231 |  530007
         271 |  307336
         282 |   29271
         302 |  277596
         331 |  168231
         373 |  644220
         379 |  100816
         412 |  427294
         425 |  365976
         426 |  339572
         430 |  137702
         452 |   35898
         457 |  768677
         516 |  446490
         527 |   20992
         534 |   15456
         547 |  392940
         548 |  734228
         579 |  550506
         611 |  360009
         616 |  369599
         622 |  149490
         626 |  247838
         628 |  407212
         631 |  744856
         661 |   78982
         680 |  138720
         693 |   69536
         694 |  281980
         700 |   31521
         703 |  282920
         737 |    4032
         741 |  166191
         745 |  249528
         760 |  115962
         762 |  312174
         772 |  504178
         779 |   63476
         812 |  547512
         834 |  176732
         840 |  301787
         845 |  549958
         846 |  460873
         875 |  391590
         877 |   72672
         899 |   67858
         906 |  552150
         965 |    3672
         968 |   83919
         969 |  267806
         978 |  872805
        1000 |  737307
        1001 | 1421443
        1017 |  310362
        1051 |  541528
        1054 |  308937
        1061 |  493269
        1063 |  585648
        1065 |  680846
        1071 |  279440
        1136 |  265925
        1144 |  393171
        1151 |   90573
        1198 |  185339
        1208 |   46926
        1217 |  182262
        1229 |  203018
        1237 |  500091
        1246 |  391300
        1254 |  358197
        1307 |  689512
        1309 |   73800
        1334 |  700690
        1368 |   54747
        1373 |  335018
        1399 |   62930
        1410 |   92537
        1422 |   97308
        1428 |  258324
        1431 |   36162
        1432 |   28127
        1434 |  386139
        1441 |  208290
        1458 |   51576
        1476 |   42456
        1484 |  129324
        1518 |  127503
        1575 |  602826
        1582 |   36988
        1587 |  248490
        1616 |  621753
        1618 |  436912
        1621 |  254190
        1649 |   98324
        1658 |  164430
        1659 |  206514
        1672 |  306598
        1712 |   67023
        1719 |  557566
        1748 |   38117
        1792 |  412437
        1793 |  130503
        1820 |  104176
        1824 |   19217
        1831 |  118260
        1838 |  355572
        1840 |  541308
        1871 |  319431
        1879 |   65968
        1889 |  583620
        1954 |  225484
        1960 |  326648
        1991 |  179949
        2002 |  163207
        2050 |   78720
        2091 |  589860
        2103 |  431820
        2106 |  549549
        2113 |  880896
        2149 |  251532
        2152 |   93181
        2159 | 1295388
        2161 |  209674
        2185 |   42024
        2197 |  316794
        2217 |  148722
        2233 |   67578
        2236 |   66118
        2249 |  223496
        2266 |  386022
        2267 |  156058
        2274 |  358173
        2279 |  177772
        2297 |   12285
        2305 |  556806
        2310 |   34932
        2312 |  296098
        2321 |   76608
        2347 |  343952
        2348 |  201240
